
################################
#Benchmark pattern info:
################################
./posixGlibcIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
8.64798323733e-07, 1.22683489598e-06
0.0000008, 4
7.78599167335e-07, 1.52913348312e-06
0.0000008, 4
8.44351145879e-07, 9.30149410465e-07
0.000001, 4
9.18923425831e-07, 1.4377222535e-06
0.000001, 4
9.11305845183e-07, 1.07929403222e-06
0.000002, 4
7.89825051907e-07, 1.31303403299e-06
0.000002, 4
9.87080931217e-07, 7.25115585784e-06
0.000004, 4
1.03799863298e-06, 1.16910158895e-06
0.000004, 4
1.08530787952e-06, 1.69271143973e-06
0.000006, 4
7.76995459975e-07, 9.50997539247e-07
0.000006, 4
1.08771336884e-06, 2.08481736748e-06
0.000008, 4
8.10272358243e-07, 1.00231612845e-06
0.000008, 4
8.87250229438e-07, 1.49946491554e-06
0.00001, 4
9.22932711063e-07, 1.28015818698e-06
0.00001, 4
1.0203578609e-06, 1.79414594402e-06
0.00003, 4
9.97905956694e-07, 1.20277937729e-06
0.00003, 4
1.05082822654e-06, 1.47340470528e-06
0.00006, 4
8.40341785495e-07, 9.42177097287e-07
0.00006, 4
7.72986218409e-07, 1.06004956508e-06
0.00008, 4
8.72816922802e-07, 9.68638348869e-07
0.00008, 4
1.06686523623e-06, 1.73601145166e-06
0.0001, 4
8.03456626609e-07, 1.33668881892e-06
